Country,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Critical,Region,latitude,longitude
China,"78,514",+450,"2,747",+32,"32,954","8,346",Asia,35.86166,104.195397
Italy,650,+180,17,+5,45,35,Europe,41.87194,12.56738
Iran,245,+106,26,+7,54,0,Asia,32.427908,53.68804599999999
Japan,207,+35,4,+1,32,13,Asia,36.204824,138.252924
Singapore,96,+3,0,0,66,7,Asia,1.352083,103.819836
Hong Kong,92,+3,2,0,18,6,Asia,22.396428,114.109497
Kuwait,43,+17,0,0,0,0,Asia,29.31166,47.481766
Germany,40,+13,0,0,15,2,Europe,51.165691,10.451526
Thailand,40,0,0,0,22,2,Asia,15.870032,100.992541
Bahrain,33,0,0,0,0,0,Asia,25.93041400000001,50.637772
Taiwan,32,0,1,0,5,1,Asia,23.69781,120.960515
Australia,23,0,0,0,15,0,Oceania,-25.274398,133.775136
Malaysia,22,0,0,0,20,0,Asia,4.210483999999999,101.975766
France,18,0,2,0,11,1,Europe,46.227638,2.213749
Spain,17,+4,0,0,2,2,Europe,40.463667,-3.74922
Vietnam,16,0,0,0,16,0,Asia,14.058324,108.277199
Canada,12,0,0,0,3,0,N.America,56.130366,-106.346771
Iraq,6,+1,0,0,0,0,Asia,33.223191,43.679291
Oman,6,+2,0,0,0,0,Asia,21.512583,55.92325500000001
Switzerland,6,+5,0,0,0,0,Europe,46.818188,8.227511999999999
Philippines,3,0,1,0,2,0,Asia,12.879721,121.774017
Austria,3,+1,0,0,0,0,Europe,47.516231,14.550072
Croatia,3,0,0,0,0,0,Europe,45.1,15.2
Greece,3,+2,0,0,0,0,Europe,39.074208,21.824312
India,3,0,0,0,3,0,Asia,20.593684,78.96288
Israel,3,+1,0,0,0,0,Asia,31.046051,34.851612
Lebanon,3,+1,0,0,0,0,Asia,33.854721000000005,35.862285
Finland,2,0,0,0,1,0,Europe,61.92411,25.748151
Pakistan,2,0,0,0,0,0,Asia,30.375321000000003,69.345116
Russia,2,0,0,0,2,0,Europe,61.52401,105.318756
Sweden,2,0,0,0,0,0,Europe,60.128161,18.643501
Afghanistan,1,0,0,0,0,0,Asia,33.93911,67.709953
Algeria,1,0,0,0,0,0,Africa,28.033886,1.6596259999999998
Belgium,1,0,0,0,1,0,Europe,50.503887,4.469936
Brazil,1,0,0,0,0,0,South America,-14.235004,-51.92528
Cambodia,1,0,0,0,1,0,Asia,12.565679,104.990963
Denmark,1,+1,0,0,0,0,Europe,56.26392,9.501785
Egypt,1,0,0,0,1,0,Africa,26.820553000000004,30.802498
Estonia,1,+1,0,0,0,0,Europe,58.595272,25.013607
Georgia,1,0,0,0,0,0,Asia,42.315407,43.356892
Georgia,1,0,0,0,0,0,Asia,32.157435,-82.907123
Nepal,1,0,0,0,1,0,Asia,28.394857,84.12400799999998
Norway,1,0,0,0,0,0,Europe,60.472024,8.468946
Romania,1,0,0,0,0,0,Europe,45.943161,24.96676
Sri Lanka,1,0,0,0,1,0,Asia,7.873054,80.77179699999998
